中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,749 Mbps,95948 kB/s
35.230.79.26,443,35.212.154.209,US,Seattle,隧道,47 ms,440 Mbps,56320 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,47 ms,520 Mbps,66662 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,414 Mbps,53043 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,512 Mbps,65536 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,50 ms,512 Mbps,65536 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,40 ms,326 Mbps,41779 kB/s
35.197.23.75,443,35.212.154.209,US,Seattle,隧道,50 ms,387 Mbps,49561 kB/s
129.146.46.164,443,129.146.46.164,288 Mbps,36966 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,39 ms,515 Mbps,65945 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,191 Mbps,24473 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,57 ms,1 Mbps,160 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,140 ms,174 Mbps,22323 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,220 Mbps,28262 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,115 ms,40 Mbps,5194 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,140 ms,41 Mbps,5352 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,160 Mbps,20582 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,115 ms,43 Mbps,5609 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,40 Mbps,5235 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,1 Mbps,153 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,171 ms,44 Mbps,5722 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,122 ms,44 Mbps,5699 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,200 ms,2 Mbps,261 kB/s
8.219.151.64,443,8.219.116.219,SG,Singapore,隧道,207 ms,17 Mbps,2241 kB/s
