中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,26 ms,324 Mbps,41574 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,35 ms,233 Mbps,29900 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,390 Mbps,49971 kB/s
129.153.203.62,443,129.153.203.62,US,Los Angeles,中转,152 ms,446 Mbps,57139 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,47 ms,230 Mbps,29491 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,52 ms,896 Mbps,114688 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,647 Mbps,82841 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,558 Mbps,71475 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,47 ms,560 Mbps,71782 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,51 ms,523 Mbps,66969 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,53 Mbps,6798 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,28 ms,896 Mbps,114688 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,37 ms,545 Mbps,69836 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,60 ms,39 Mbps,5011 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,45 ms,660 Mbps,84582 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,38 ms,1016 Mbps,130048 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,99 ms,351 Mbps,44953 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,28 ms,486 Mbps,62259 kB/s
192.9.140.43,443,192.9.140.43,US,San Jose,中转,52 ms,34 Mbps,4394 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,57 ms,201 Mbps,25804 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,141 ms,120 Mbps,15360 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,56 ms,382 Mbps,48947 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,65 ms,167 Mbps,21401 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,58 ms,396 Mbps,50688 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,136 ms,131 Mbps,16793 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,136 ms,138 Mbps,17715 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,128 ms,45 Mbps,5829 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,207 Mbps,26521 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,134 ms,139 Mbps,17817 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,64 ms,469 Mbps,60108 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,164 ms,50 Mbps,6412 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,128 ms,145 Mbps,18636 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,62 ms,10 Mbps,1374 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,133 ms,26 Mbps,3433 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,133 ms,44 Mbps,5746 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,116 Mbps,14950 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,136 ms,63 Mbps,8128 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,181 ms,78 Mbps,10035 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,199 ms,47 Mbps,6134 kB/s
193.122.2.88,443,98.98.166.194,US,Frankfurt,隧道,141 ms,146 Mbps,18739 kB/s
152.69.162.101,443,152.69.162.101,AU,Sydney,中转,151 ms,120 Mbps,15462 kB/s
152.67.44.30,443,152.67.44.30,BR,S
