中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,9 ms,92 Mbps,11776 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,29 ms,498 Mbps,63795 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,520 Mbps,66560 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,72 ms,343 Mbps,43929 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,216 Mbps,27750 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,32 ms,66 Mbps,8568 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,120 ms,310 Mbps,39731 kB/s
143.47.189.109,443,2a0b:21c0:1007:1ca:0:dfb0:e5cc:7bc1,DE,Frankfurt,隧道,107 ms,257 Mbps,32972 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,97 ms,423 Mbps,54169 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,282 Mbps,36147 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,108 ms,20 Mbps,2601 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,37 ms,65 Mbps,8340 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,26 ms,624 Mbps,79974 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,18 ms,43 Mbps,5597 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,317 Mbps,40652 kB/s
158.178.149.159,443,2606:f240:f00:eaf1:0:a376:d091:a423,US,Frankfurt,隧道,99 ms,240 Mbps,30822 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,93 ms,281 Mbps,36044 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,106 ms,257 Mbps,32972 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,213 Mbps,27340 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,81 ms,276 Mbps,35328 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,252 Mbps,32256 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,100 ms,492 Mbps,63078 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,92 ms,424 Mbps,54272 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,8 ms,14 Mbps,1862 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,57 ms,1 Mbps,132 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,107 ms,52 Mbps,6719 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,99 ms,13 Mbps,1786 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,176 ms,146 Mbps,18739 kB/s
