中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:7680:e18::26a:23,US,Los Angeles,隧道,18 ms,102 Mbps,13107 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,404 Mbps,51814 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,15 ms,716 Mbps,91648 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,26 ms,1312 Mbps,167936 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,44 ms,1552 Mbps,198656 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,45 ms,888 Mbps,113664 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,688 Mbps,88166 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,25 ms,648 Mbps,82944 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,43 ms,1784 Mbps,228352 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,21 ms,380 Mbps,48640 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,18 ms,67 Mbps,8609 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,22 ms,79 Mbps,10137 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,61 ms,365 Mbps,46796 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,21 ms,824 Mbps,105472 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,140 ms,154 Mbps,19763 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,93 ms,379 Mbps,48537 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,29 ms,790 Mbps,101171 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,49 ms,65 Mbps,8445 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,108 ms,680 Mbps,87040 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,74 ms,20 Mbps,2616 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,108 ms,432 Mbps,55296 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,92 ms,97 Mbps,12492 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,18 ms,443 Mbps,56729 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,82 ms,612 Mbps,78336 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,203 ms,148 Mbps,18944 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,84 ms,372 Mbps,47616 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,62 ms,44 Mbps,5750 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,41 Mbps,5271 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,126 ms,324 Mbps,41574 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,104 Mbps,13414 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,101 Mbps,13004 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,163 ms,94 Mbps,12083 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,2 Mbps,356 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,155 ms,45 Mbps,5760 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,202 ms,17 Mbps,2225 kB/s
138.2.162.97,443,2a0b:21c0:100a:1f9:0:e674:a92d:27c,DE,Frankfurt,隧道,159 ms,117 Mbps,15052 kB/s
130.61.23.77,443,130.61.23.77,94 Mbps,12083 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,151 ms,144 Mbps,18432 kB/s
198.46.188.190,443,2a09:bac1:76c0:118::312:1c,US,Toronto,隧道,75 ms,124 Mbps,15974 kB/s
