中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,25 ms,472 Mbps,60416 kB/s
35.230.79.26,443,35.212.233.117,US,Seattle,隧道,37 ms,432 Mbps,55398 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,27 ms,968 Mbps,123904 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,816 Mbps,104448 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,37 ms,605 Mbps,77516 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,19 ms,609 Mbps,78028 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1160 Mbps,148480 kB/s
35.197.23.75,443,35.212.233.117,US,Seattle,隧道,37 ms,568 Mbps,72806 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,20 ms,1024 Mbps,131072 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,55 ms,381 Mbps,48844 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,54 ms,0 Mbps,60 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,54 ms,388 Mbps,49664 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,347 Mbps,44441 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,43 ms,522 Mbps,66867 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,143 ms,136 Mbps,17408 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,143 ms,138 Mbps,17715 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,43 Mbps,5618 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,130 ms,46 Mbps,5917 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,144 ms,155 Mbps,19865 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,130 Mbps,16691 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,196 Mbps,25190 kB/s
141.148.244.95,443,2606:f240:f00:83a7:0:f6a2:8e54:7ae1,DE,Frankfurt,隧道,154 ms,126 Mbps,16179 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,40 Mbps,5173 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,157 ms,40 Mbps,5227 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,154 ms,108 Mbps,13824 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,134 ms,39 Mbps,5034 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,182 ms,37 Mbps,4771 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,158 ms,23 Mbps,2998 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,2 Mbps,377 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,181 ms,15 Mbps,1926 kB/s
158.180.71.217,443,128.14.110.204,SG,Singapore,隧道,201 ms,62 Mbps,8005 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,155 ms,1 Mbps,163 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,329 ms,0 Mbps,10 kB/s
