中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,643 Mbps,82329 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,322 Mbps,41267 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,14 ms,2 Mbps,257 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,70 ms,368 Mbps,47206 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,354 Mbps,45363 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,68 ms,361 Mbps,46284 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,34 Mbps,4425 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,44 Mbps,5703 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,334 Mbps,42803 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,356 Mbps,45670 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,71 ms,323 Mbps,41369 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,309 Mbps,39628 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,227 Mbps,29081 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,253 Mbps,32460 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,72 ms,301 Mbps,38604 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,119 Mbps,15257 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,221 ms,38 Mbps,4938 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,165 ms,36 Mbps,4656 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,40 Mbps,5178 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,169 ms,41 Mbps,5347 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,249 ms,24 Mbps,3194 kB/s
