中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,26 ms,565 Mbps,72396 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,684 Mbps,87552 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,26 ms,904 Mbps,115712 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,5 ms,1520 Mbps,194560 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,22 ms,952 Mbps,121856 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,509 Mbps,65228 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,22 ms,436 Mbps,55910 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,23 ms,888 Mbps,113664 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,162 ms,0 Mbps,120 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,375 Mbps,48025 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,72 ms,45 Mbps,5854 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,137 ms,42 Mbps,5486 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,72 ms,297 Mbps,38092 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,109 ms,317 Mbps,40652 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,31 Mbps,4014 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,149 ms,40 Mbps,5231 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,231 Mbps,29593 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,136 ms,133 Mbps,17100 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,145 Mbps,18636 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,178 ms,3 Mbps,385 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,166 ms,116 Mbps,14950 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,163 ms,123 Mbps,15769 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,198 ms,120 Mbps,15462 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,162 ms,16 Mbps,2100 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,182 ms,3 Mbps,511 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,264 ms,0 Mbps,30 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,172 ms,23 Mbps,3025 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,1183 ms,0 Mbps,3 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,153 ms,1 Mbps,249 kB/s
