中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,25 ms,7 Mbps,900 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,629 Mbps,80588 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,49 ms,504 Mbps,64512 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,48 ms,416 Mbps,53248 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,304 Mbps,38912 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,50 ms,399 Mbps,51097 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,326 Mbps,41779 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,52 ms,507 Mbps,64921 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,466 Mbps,59699 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,57 ms,417 Mbps,53452 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,233 Mbps,29900 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,58 ms,380 Mbps,48640 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,47 Mbps,6130 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,179 Mbps,22937 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,176 Mbps,22528 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,106 ms,42 Mbps,5444 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,138 Mbps,17715 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,153 ms,40 Mbps,5224 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,149 ms,37 Mbps,4852 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,40 Mbps,5165 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,37 Mbps,4838 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,193 ms,11 Mbps,1512 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,221 ms,63 Mbps,8149 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,233 ms,37 Mbps,4747 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,197 ms,90 Mbps,11571 kB/s
