中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:7680:e18::26b:1b,US,Los Angeles,隧道,21 ms,55 Mbps,7088 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,47 ms,636 Mbps,81408 kB/s
35.230.79.26,443,35.212.248.117,US,Seattle,隧道,39 ms,543 Mbps,69529 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,401 Mbps,51404 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,21 ms,872 Mbps,111616 kB/s
35.197.23.75,443,35.212.248.117,US,Seattle,隧道,58 ms,554 Mbps,70963 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,18 ms,544 Mbps,69632 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,68 ms,0 Mbps,57 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,16 ms,720 Mbps,92262 kB/s
143.47.182.90,443,2606:f240:f00:a683:0:7502:5f9e:69f,US,Frankfurt,隧道,146 ms,116 Mbps,14848 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,36 ms,288 Mbps,36966 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,167 ms,153 Mbps,19660 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,48 Mbps,6211 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,21 ms,627 Mbps,80281 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,139 ms,173 Mbps,22220 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,64 ms,476 Mbps,60928 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,146 ms,144 Mbps,18432 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,72 ms,50 Mbps,6525 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,146 Mbps,18739 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,173 ms,139 Mbps,17817 kB/s
