中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,920 Mbps,117760 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,364 Mbps,46592 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,284 Mbps,36454 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,68 ms,380 Mbps,48742 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,368 Mbps,47104 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,357 Mbps,45772 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,110 ms,683 Mbps,87449 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,106 ms,43 Mbps,5546 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,46 Mbps,5991 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,17 ms,373 Mbps,47820 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,345 Mbps,44236 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,344 Mbps,44032 kB/s
5.161.157.116,443,5.161.157.116,US,Ashburn,中转,100 ms,680 Mbps,87142 kB/s
35.230.79.26,443,35.233.204.31,US,Seattle,隧道,53 ms,449 Mbps,57548 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,81 ms,912 Mbps,116736 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,51 ms,53 Mbps,6840 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,192 Mbps,24678 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,80 ms,649 Mbps,83148 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,31 ms,27 Mbps,3548 kB/s
130.61.23.77,443,130.61.23.77,DE,100 Mbps,12902 kB/s
