中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,15 ms,1648 Mbps,210944 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,285 Mbps,36556 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,47 ms,296 Mbps,37888 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,25 ms,747 Mbps,95641 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,19 ms,73 Mbps,9351 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,114 Mbps,14643 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,30 ms,912 Mbps,116736 kB/s
132.226.31.178,443,2a09:bac5:60eb:1173::1bd:10b,US,Los Angeles,隧道,79 ms,38 Mbps,4962 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1344 Mbps,172032 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,21 ms,912 Mbps,116736 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,193 ms,135 Mbps,17305 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,62 ms,220 Mbps,28160 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,155 ms,104 Mbps,13312 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,41 ms,1632 Mbps,208896 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,159 ms,42 Mbps,5471 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,36 ms,880 Mbps,112640 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,146 ms,140 Mbps,17920 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,61 ms,602 Mbps,77107 kB/s
193.122.197.111,443,193.122.197.111,,colo.txt:Ashburn,中转,0 ms,176 Mbps,22528 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,154 ms,115 Mbps,14745 kB/s
