中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.89.182.61,443,47.251.149.50,US,San Jose,隧道,80 ms,2 Mbps,320 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,112 ms,240 Mbps,30720 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,251 ms,78 Mbps,10035 kB/s
47.254.157.208,443,47.251.149.52,US,San Jose,隧道,91 ms,2 Mbps,326 kB/s
47.90.228.243,443,47.90.228.243,US,Ashburn,中转,79 ms,32 Mbps,4203 kB/s
158.101.148.105,443,158.101.148.105,JP,Tokyo,中转,220 ms,38 Mbps,4912 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,64 ms,112 Mbps,14336 kB/s
158.101.84.63,443,2602:ffe4:407:20d9:0:831f:8203:541a,SG,Singapore,隧道,242 ms,54 Mbps,7020 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,195 ms,92 Mbps,11878 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,211 ms,53 Mbps,6901 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,263 ms,35 Mbps,4575 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,157 ms,28 Mbps,3655 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,193 ms,96 Mbps,12390 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,205 ms,10 Mbps,1307 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,338 ms,70 Mbps,9035 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,219 ms,73 Mbps,9416 kB/s
8.211.197.133,443,47.251.149.53,US,San Jose,隧道,80 ms,2 Mbps,347 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,262 ms,56 Mbps,7215 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,203 ms,0 Mbps,13 kB/s
138.2.84.189,443,104.28.222.43,SG,Singapore,隧道,219 ms,56 Mbps,7201 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,193 ms,65 Mbps,8355 kB/s
47.57.245.232,443,47.254.73.153,US,San Jose,隧道,202 ms,2 Mbps,324 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,87 ms,18 Mbps,2305 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,132 ms,7 Mbps,1004 kB/s
152.69.162.101,443,152.69.162.101,AU,Sydney,中转,202 ms,67 Mbps,8645 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,205 ms,15 Mbps,1962 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,220 ms,74 Mbps,9525 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,218 ms,28 Mbps,3693 kB/s
168.138.209.31,443,2a09:bac5:442a:dc::16:16a,JP,Tokyo,隧道,221 ms,38 Mbps,4883 kB/s
141.147.159.250,443,141.147.159.250,JP,Osaka,中转,209 ms,65 Mbps,8352 kB/s
8.216.88.20,443,47.251.149.49,US,San Jose,隧道,158 ms,2 Mbps,312 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,263 ms,40 Mbps,5135 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,213 ms,0 Mbps,25 kB/s
8.211.54.130,443,8.211.54.130,DE,Paris,中转,90 ms,28 Mbps,3633 kB/s
