中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,307 Mbps,39321 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,21 ms,912 Mbps,116736 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,55 ms,426 Mbps,54579 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,88 ms,660 Mbps,84480 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,40 ms,685 Mbps,87756 kB/s
192.9.158.188,443,2a09:bac1:76a0:1cf0::4:325,US,San Jose,隧道,11 ms,198 Mbps,25395 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,675 Mbps,86425 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,58 ms,384 Mbps,49152 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,19 ms,1096 Mbps,140288 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,102 ms,448 Mbps,57344 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,69 ms,129 Mbps,16588 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,30 ms,880 Mbps,112640 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,165 ms,58 Mbps,7488 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,77 ms,928 Mbps,118784 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1720 Mbps,220160 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,61 ms,1352 Mbps,173056 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,65 ms,1384 Mbps,177152 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,203 Mbps,26009 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,128 ms,358 Mbps,45875 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,34 ms,164 Mbps,20992 kB/s
47.254.42.167,443,47.251.149.53,US,San Jose,隧道,18 ms,4 Mbps,634 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,82 ms,51 Mbps,6618 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,49 ms,1024 Mbps,131072 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,57 ms,352 Mbps,45056 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,159 ms,103 Mbps,13209 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,93 ms,288 Mbps,36864 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,353 Mbps,45260 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,134 Mbps,17203 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,389 kB/s
47.253.104.12,443,47.251.149.54,US,San Jose,隧道,80 ms,3 Mbps,384 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,145 ms,108 Mbps,13824 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,151 ms,100 Mbps,12800 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,102 Mbps,13107 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,63 ms,48 Mbps,6205 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,20 Mbps,2683 kB/s
140.238.23.148,443,2a09:bac5:4750:1a14::299:4f,KR,Seoul,隧道,129 ms,37 Mbps,4744 kB/s
47.89.182.61,443,47.251.149.52,US,San Jose,隧道,77 ms,3 Mbps,416 kB/s
