中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,298 Mbps,38195 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,848 Mbps,108544 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,37 ms,409 Mbps,52428 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,30 ms,100 Mbps,12902 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,176 Mbps,22630 kB/s
192.9.138.241,443,192.9.138.241,US,384 Mbps,49152 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,343 Mbps,43929 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,49 ms,416 Mbps,53248 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,173 ms,198 Mbps,25395 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,41 ms,628 Mbps,80486 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,49 Mbps,6278 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,174 Mbps,22323 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,431 Mbps,55193 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,119 ms,480 Mbps,61440 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,21 ms,460 Mbps,58982 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,21 ms,276 Mbps,35430 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,49 ms,440 Mbps,56422 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,166 ms,196 Mbps,25190 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,56 ms,182 Mbps,23347 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,136 ms,59 Mbps,7610 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,332 Mbps,42496 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,109 ms,97 Mbps,12492 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,52 ms,50 Mbps,6519 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,168 Mbps,21504 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,49 ms,1 Mbps,214 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,48 ms,464 Mbps,59392 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,92 ms,8 Mbps,1125 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:3a4,US,Los Angeles,隧道,65 ms,47 Mbps,6065 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,124 ms,423 Mbps,54169 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,115 Mbps,14745 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,50 Mbps,6469 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,109 ms,50 Mbps,6438 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,112 ms,48 Mbps,6185 kB/s
144.22.252.124,443,144.22.252.124,BR,S
