中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,816 Mbps,104448 kB/s
35.197.23.75,443,35.212.233.117,US,Seattle,隧道,26 ms,832 Mbps,106496 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,5 ms,468 Mbps,59904 kB/s
35.230.79.26,443,35.212.233.117,US,Seattle,隧道,40 ms,976 Mbps,124928 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,888 Mbps,113664 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,25 ms,912 Mbps,116736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,657 Mbps,84172 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,222 Mbps,28467 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,77 ms,264 Mbps,33894 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,117 ms,48 Mbps,6167 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,74 ms,296 Mbps,37990 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,81 ms,233 Mbps,29900 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,46 Mbps,5981 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,47 Mbps,6112 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,156 ms,120 Mbps,15462 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,119 Mbps,15257 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,43 Mbps,5588 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,175 ms,43 Mbps,5536 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,3 Mbps,415 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,143 ms,4 Mbps,516 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,181 ms,44 Mbps,5636 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,169 ms,40 Mbps,5244 kB/s
168.138.216.146,443,2602:ffe4:407:20d9:0:4da9:2681:10a7,SG,Singapore,隧道,173 ms,91 Mbps,11673 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,161 ms,134 Mbps,17203 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,117 Mbps,15052 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,174 ms,36 Mbps,4626 kB/s
158.101.221.74,443,2606:f240:f00:2be4:0:b97:3828:d6dd,DE,Frankfurt,隧道,169 ms,100 Mbps,12902 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,138 ms,8 Mbps,1042 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,165 ms,42 Mbps,5407 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,188 ms,0 Mbps,33 kB/s
