中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,10 ms,77 Mbps,9924 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,500 Mbps,64102 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,39 ms,532 Mbps,68198 kB/s
129.146.7.98,443,2a09:bac5:60e9:183c::26a:d,US,Los Angeles,隧道,72 ms,72 Mbps,9250 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,268 Mbps,34304 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,87 ms,210 Mbps,26931 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,6 ms,42 Mbps,5377 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,78 ms,337 Mbps,43212 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,99 ms,301 Mbps,38604 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,9 ms,56 Mbps,7243 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,78 ms,364 Mbps,46694 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,218 Mbps,27955 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,436 Mbps,55910 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,132 ms,227 Mbps,29081 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,73 ms,360 Mbps,46080 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,36 ms,80 Mbps,10240 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,46 ms,2 Mbps,319 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,71 ms,321 Mbps,41164 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,137 ms,251 Mbps,32153 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,2 Mbps,267 kB/s
132.145.242.62,443,2a0b:21c0:100a:1b3:0:ae42:aeb3:7a15,DE,Frankfurt,隧道,96 ms,232 Mbps,29696 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,60 ms,20 Mbps,2626 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,88 ms,23 Mbps,3062 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,98 ms,51 Mbps,6575 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,89 ms,458 Mbps,58675 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,104 ms,9 Mbps,1208 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,104 ms,227 Mbps,29081 kB/s
130.61.23.77,443,130.61.23.77,218 Mbps,27955 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,96 ms,245 Mbps,31436 kB/s
144.22.252.124,443,144.22.252.124,BR,S
