中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:fd,US,Los Angeles,隧道,66 ms,69 Mbps,8959 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,612 Mbps,78438 kB/s
129.80.177.42,443,129.80.177.42,US,Newark,中转,5 ms,44 Mbps,5740 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,82 ms,235 Mbps,30105 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,17 ms,824 Mbps,105472 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,250 Mbps,32051 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,67 ms,335 Mbps,42905 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,110 ms,219 Mbps,28057 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,45 Mbps,5788 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,8 ms,66 Mbps,8496 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,6 ms,880 Mbps,112640 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,232 Mbps,29798 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,272 Mbps,34816 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,44 Mbps,5690 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,104 ms,224 Mbps,28672 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,72 ms,325 Mbps,41676 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,101 ms,135 Mbps,17305 kB/s
158.178.155.231,443,2a0b:21c0:100a:1b6:0:2e49:b5d6:6672,DE,Frankfurt,隧道,89 ms,120 Mbps,15360 kB/s
144.24.167.37,443,2606:f240:f00:2be4:0:a701:e50b:2a94,US,Frankfurt,隧道,101 ms,218 Mbps,27955 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,82 ms,300 Mbps,38400 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,98 ms,44 Mbps,5707 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,384 Mbps,49254 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,105 ms,46 Mbps,5933 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,124 Mbps,15872 kB/s
158.101.217.62,443,163.123.193.6,DE,Frankfurt,隧道,96 ms,228 Mbps,29184 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,102 ms,28 Mbps,3593 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,96 ms,46 Mbps,5990 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,93 ms,353 Mbps,45260 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,1 Mbps,250 kB/s
158.101.220.192,443,98.98.166.58,US,Frankfurt,隧道,96 ms,266 Mbps,34099 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,141 ms,49 Mbps,6326 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,211 ms,106 Mbps,13619 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,2 Mbps,307 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,41 Mbps,5329 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:11d,KR,Seoul,隧道,198 ms,77 Mbps,9946 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,217 ms,70 Mbps,9020 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,184 ms,85 Mbps,10956 kB/s
193.122.125.14,443,2607:a400:a:16b:0:1156:bc9e:d143,US,Los Angeles,隧道,254 ms,62 Mbps,7961 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,245 ms,7 Mbps,996 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,226 ms,32 Mbps,4189 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,201 ms,35 Mbps,4576 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,215 ms,61 Mbps,7909 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,273 ms,11 Mbps,1431 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,246 ms,36 Mbps,4663 kB/s
