中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,21 ms,58 Mbps,7439 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,13 ms,856 Mbps,109568 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,400 Mbps,51302 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,67 ms,62 Mbps,7941 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,41 ms,619 Mbps,79257 kB/s
35.197.23.75,443,35.230.48.200,US,Seattle,隧道,53 ms,417 Mbps,53452 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,450 Mbps,57651 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,57 ms,419 Mbps,53657 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,61 ms,332 Mbps,42496 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,31 ms,32 Mbps,4132 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:30,US,San Jose,隧道,113 ms,212 Mbps,27238 kB/s
47.254.42.167,443,47.251.149.51,US,San Jose,隧道,54 ms,5 Mbps,644 kB/s
144.24.171.136,443,2a0b:21c0:1007:1cb:0:6af4:3667:e6b5,DE,Frankfurt,隧道,107 ms,187 Mbps,23961 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,56 ms,356 Mbps,45568 kB/s
35.230.79.26,443,35.230.48.200,US,Seattle,隧道,84 ms,468 Mbps,60006 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,199 Mbps,25497 kB/s
138.2.227.94,443,138.2.227.94,US,San Jose,中转,52 ms,49 Mbps,6381 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,135 ms,402 Mbps,51507 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,388 Mbps,49664 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,171 Mbps,21913 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,123 ms,65 Mbps,8414 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,165 ms,160 Mbps,20480 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,96 ms,48 Mbps,6204 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,116 Mbps,14848 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,371 Mbps,47513 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,56 ms,410 Mbps,52531 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,171 ms,99 Mbps,12697 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,194 Mbps,24883 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,200 Mbps,25702 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,104 ms,50 Mbps,6455 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,284 Mbps,36352 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,332 Mbps,42598 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,100 ms,41 Mbps,5251 kB/s
132.226.31.178,443,2a09:bac5:60ef:1173::1bd:e3,US,Los Angeles,隧道,118 ms,43 Mbps,5593 kB/s
129.146.254.39,443,129.146.254.39,US,Los Angeles,中转,64 ms,32 Mbps,4140 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,124 ms,44 Mbps,5753 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,170 ms,84 Mbps,10752 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,105 ms,161 Mbps,20684 kB/s
47.89.182.61,443,47.251.149.50,US,San Jose,隧道,69 ms,2 Mbps,379 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,193 ms,37 Mbps,4764 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,103 ms,50 Mbps,6487 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,191 ms,76 Mbps,9819 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,115 ms,42 Mbps,5491 kB/s
144.22.252.124,443,144.22.252.124,BR,S
