中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
204.110.220.3,443,204.110.220.175,US,,隧道,74 ms,316 Mbps,40448 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,216 ms,75 Mbps,9683 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,218 ms,80 Mbps,10240 kB/s
138.2.114.58,443,138.2.114.58,KR,Hong Kong,中转,293 ms,39 Mbps,5021 kB/s
193.123.81.105,443,193.123.81.105,AE,Frankfurt,中转,215 ms,38 Mbps,4962 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,110 ms,184 Mbps,23552 kB/s
8.219.54.203,443,8.219.54.203,SG,Singapore,中转,212 ms,72 Mbps,9232 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,210 ms,71 Mbps,9215 kB/s
8.219.70.151,443,8.219.70.151,SG,Singapore,中转,211 ms,71 Mbps,9208 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,214 ms,79 Mbps,10137 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,107 ms,206 Mbps,26419 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,209 ms,192 Mbps,24678 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,208 ms,0 Mbps,89 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,36 ms,619 Mbps,79257 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,55 ms,356 Mbps,45670 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,213 ms,76 Mbps,9819 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,60 ms,385 Mbps,49356 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,97 ms,229 Mbps,29388 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,115 ms,189 Mbps,24268 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,209 ms,72 Mbps,9263 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,46 ms,563 Mbps,72089 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,126 ms,264 Mbps,33792 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,116 ms,190 Mbps,24371 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,109 ms,178 Mbps,22835 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,109 ms,141 Mbps,18124 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,110 ms,176 Mbps,22528 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,472 ms,1 Mbps,153 kB/s
54.203.85.46,443,204.110.220.191,US,,隧道,58 ms,321 Mbps,41164 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,224 ms,49 Mbps,6283 kB/s
141.144.201.208,443,2a0b:21c0:100a:1b0:0:2c19:55b3:a361,DE,Frankfurt,隧道,105 ms,76 Mbps,9836 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,42 Mbps,5383 kB/s
143.47.252.107,443,2606:f240:f00:a683:0:2776:a666:40d0,US,Frankfurt,隧道,148 ms,168 Mbps,21504 kB/s
193.123.37.179,443,2a0b:21c0:100a:1b0:0:2f36:98b3:4571,DE,Frankfurt,隧道,108 ms,99 Mbps,12697 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,52 ms,175 Mbps,22425 kB/s
141.148.230.77,443,2606:f240:f00:2be4:0:5224:fa0:7ccb,US,Frankfurt,隧道,107 ms,185 Mbps,23756 kB/s
