中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,4 ms,51 Mbps,6593 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,3 Mbps,473 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,433 Mbps,55500 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,84 ms,49 Mbps,6300 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,64 ms,353 Mbps,45260 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,70 ms,294 Mbps,37683 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,360 Mbps,46080 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,381 Mbps,48844 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,73 ms,305 Mbps,39116 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,233 Mbps,29900 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,251 Mbps,32153 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,266 Mbps,34099 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,297 Mbps,38092 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,221 Mbps,28364 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,40 Mbps,5193 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,168 ms,115 Mbps,14745 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,164 ms,37 Mbps,4800 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,121 Mbps,15564 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,105 ms,41 Mbps,5325 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,35 Mbps,4517 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,242 ms,34 Mbps,4433 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,252 ms,32 Mbps,4179 kB/s
