中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,24 ms,780 Mbps,99840 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,296 Mbps,37888 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,234 Mbps,30003 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,66 ms,316 Mbps,40550 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,35 Mbps,4543 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,91 ms,26 Mbps,3423 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,21 ms,840 Mbps,107520 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,243 Mbps,31129 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,41 ms,596 Mbps,76390 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,77 ms,264 Mbps,33792 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,74 Mbps,9574 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,92 ms,340 Mbps,43622 kB/s
192.18.134.231,443,192.18.134.231,US,Dallas,中转,72 ms,298 Mbps,38195 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,48 Mbps,6266 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,69 ms,337 Mbps,43212 kB/s
129.146.7.98,443,2a09:bac5:60ea:78::c:3a7,US,Los Angeles,隧道,76 ms,52 Mbps,6715 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,69 ms,306 Mbps,39219 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,76 ms,344 Mbps,44032 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,79 ms,62 Mbps,7951 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,227 Mbps,29081 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,3 ms,4 Mbps,593 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,92 ms,43 Mbps,5557 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,76 ms,390 Mbps,49971 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,101 ms,106 Mbps,13619 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,93 ms,5 Mbps,697 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,71 ms,358 Mbps,45875 kB/s
168.138.149.17,443,168.138.149.17,BR,S
