中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,333 Mbps,42700 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,285 Mbps,36556 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,214 Mbps,27443 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,39 ms,350 Mbps,44851 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,91 ms,205 Mbps,26316 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,93 ms,104 Mbps,13312 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,168 Mbps,21606 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,44 ms,75 Mbps,9725 kB/s
193.123.60.41,443,2a0b:21c0:1007:c7:0:867c:9fec:154b,DE,Frankfurt,隧道,93 ms,186 Mbps,23859 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,43 ms,504 Mbps,64614 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,246 Mbps,31539 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,105 ms,47 Mbps,6039 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,165 ms,284 Mbps,36454 kB/s
34.154.110.117,443,98.98.166.182,AE,Frankfurt,隧道,102 ms,167 Mbps,21401 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,288 Mbps,36864 kB/s
35.198.83.144,443,2a0b:21c0:100a:1b4:0:8e1c:aa81:7678,DE,Frankfurt,隧道,95 ms,122 Mbps,15667 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,49 ms,420 Mbps,53862 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,197 Mbps,25292 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,80 ms,264 Mbps,33894 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,195 Mbps,24985 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,332 Mbps,42496 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,202 Mbps,25907 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,87 ms,294 Mbps,37683 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,592 Mbps,75878 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,118 ms,28 Mbps,3647 kB/s
192.9.132.79,443,192.9.132.79,US,San Jose,中转,77 ms,296 Mbps,37990 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,228 ms,45 Mbps,5871 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,84 ms,333 Mbps,42700 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,74 ms,96 Mbps,12390 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,62 ms,47 Mbps,6074 kB/s
168.138.71.220,443,168.138.71.220,CA,Toronto,中转,116 ms,71 Mbps,9133 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,124 ms,312 Mbps,39936 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,210 ms,35 Mbps,4490 kB/s
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,144 ms,130 Mbps,16691 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,145 ms,40 Mbps,5193 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,64 ms,1 Mbps,189 kB/s
152.67.149.55,443,98.98.166.194,AE,Frankfurt,隧道,92 ms,186 Mbps,23859 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,104 Mbps,13312 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,269 ms,84 Mbps,10854 kB/s
144.21.42.13,443,2606:f240:f00:2be4:0:4859:520b:61e8,US,Frankfurt,隧道,168 ms,202 Mbps,25907 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,95 ms,45 Mbps,5762 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,129 ms,142 Mbps,18227 kB/s
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,92 ms,147 Mbps,18841 kB/s
144.24.164.64,443,2a0b:21c0:1007:c9:0:3952:50dd:7d2f,DE,Frankfurt,隧道,112 ms,185 Mbps,23756 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,225 ms,67 Mbps,8638 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,91 ms,46 Mbps,5891 kB/s
8.219.201.245,443,8.219.201.245,64 Mbps,8282 kB/s
