中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,13 ms,431 Mbps,55193 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,37 ms,464 Mbps,59494 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,21 ms,749 Mbps,95948 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,5 ms,864 Mbps,110592 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1256 Mbps,160768 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,302 Mbps,38707 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,645 Mbps,82636 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,333 Mbps,42700 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,85 ms,167 Mbps,21401 kB/s
3.112.21.102,443,3.112.21.102,JP,Hong Kong,中转,106 ms,212 Mbps,27136 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,121 ms,199 Mbps,25497 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,42 Mbps,5439 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,159 ms,40 Mbps,5208 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,163 ms,10 Mbps,1377 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,181 ms,32 Mbps,4210 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,166 ms,106 Mbps,13619 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,141 ms,46 Mbps,5973 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,188 ms,36 Mbps,4662 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,47 Mbps,6041 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,205 ms,126 Mbps,16179 kB/s
152.70.52.84,443,2606:f240:f00:a683:0:a57f:6ae3:6a0f,DE,Frankfurt,隧道,159 ms,123 Mbps,15769 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,126 Mbps,16179 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,139 ms,2 Mbps,349 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,155 ms,38 Mbps,4880 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,154 ms,0 Mbps,120 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,152 ms,26 Mbps,3389 kB/s
