中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,37 ms,254 Mbps,32563 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,21 ms,808 Mbps,103424 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,84 ms,48 Mbps,6213 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,685 Mbps,87756 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,11 ms,2128 Mbps,272384 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,23 ms,888 Mbps,113664 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,416 Mbps,53248 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,17 ms,756 Mbps,96768 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,43 ms,49 Mbps,6397 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,23 ms,800 Mbps,102400 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,72 ms,45 Mbps,5863 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,192 Mbps,24576 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,305 Mbps,39116 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,76 ms,43 Mbps,5529 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,188 ms,3 Mbps,408 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,37 ms,524 Mbps,67174 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,160 ms,97 Mbps,12492 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,165 ms,13 Mbps,1789 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,327 Mbps,41881 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,155 ms,36 Mbps,4733 kB/s
130.61.23.77,443,130.61.23.77,DE,80 Mbps,10342 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,157 ms,84 Mbps,10752 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,21 ms,434 Mbps,55603 kB/s
141.144.207.214,443,2a0b:21c0:100a:1b1:0:c12d:fe95:4777,DE,Frankfurt,隧道,171 ms,116 Mbps,14950 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,152 ms,47 Mbps,6124 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,11 ms,778 Mbps,99635 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,79 ms,7 Mbps,962 kB/s
152.70.56.137,443,2a0b:21c0:1007:ca:0:abb6:6465:fb58,DE,Frankfurt,隧道,173 ms,105 Mbps,13516 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,136 Mbps,17510 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,161 ms,0 Mbps,96 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,161 ms,38 Mbps,4949 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,144 ms,134 Mbps,17203 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,159 ms,107 Mbps,13721 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,105 ms,44 Mbps,5657 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,147 ms,122 Mbps,15667 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,77 ms,6 Mbps,835 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,88 ms,34 Mbps,4427 kB/s
144.22.252.124,443,144.22.252.124,BR,S
