中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,21 ms,912 Mbps,116736 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,40 ms,59 Mbps,7570 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,17 ms,500 Mbps,64000 kB/s
35.197.23.75,443,35.212.152.202,US,Seattle,隧道,54 ms,537 Mbps,68812 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,16 ms,81 Mbps,10444 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,111 ms,177 Mbps,22732 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,42 ms,135 Mbps,17305 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,445 Mbps,57036 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,37 ms,65 Mbps,8342 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,19 ms,67 Mbps,8688 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,205 Mbps,26316 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,64 ms,465 Mbps,59596 kB/s
132.226.214.36,443,2a0b:21c0:1007:1c8:0:e14d:a5e0:d75c,DE,Frankfurt,隧道,127 ms,184 Mbps,23552 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,32 ms,60 Mbps,7769 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,108 ms,43 Mbps,5530 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,61 ms,380 Mbps,48742 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,71 ms,451 Mbps,57753 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,67 ms,401 Mbps,51404 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,73 ms,279 Mbps,35737 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,74 ms,444 Mbps,56832 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,58 ms,434 Mbps,55603 kB/s
143.47.189.94,443,2a0b:21c0:100a:1b2:0:806b:906a:42c8,DE,Frankfurt,隧道,116 ms,93 Mbps,11980 kB/s
35.230.79.26,443,35.212.152.202,US,Seattle,隧道,76 ms,423 Mbps,54169 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,118 ms,159 Mbps,20377 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,130 ms,208 Mbps,26624 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,125 ms,187 Mbps,23961 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,23 ms,4 Mbps,536 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,154 Mbps,19763 kB/s
158.101.210.213,443,2a0b:21c0:100a:1b7:0:9402:d4e3:8dc5,DE,Frankfurt,隧道,138 ms,110 Mbps,14131 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,111 ms,42 Mbps,5392 kB/s
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,São Paulo,隧道,145 ms,140 Mbps,18022 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,17 ms,4 Mbps,598 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,120 ms,216 Mbps,27750 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,201 ms,108 Mbps,13824 kB/s
152.70.52.238,443,2a0b:21c0:1007:c9:0:9571:3775:8c01,DE,Frankfurt,隧道,122 ms,178 Mbps,22835 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,151 ms,124 Mbps,15872 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,114 ms,38 Mbps,4935 kB/s
8.219.120.63,443,8.222.240.96,SG,Singapore,隧道,219 ms,53 Mbps,6889 kB/s
130.162.170.56,443,2606:f240:f00:6acf:0:a6f4:7f65:1ab7,US,Frankfurt,隧道,123 ms,180 Mbps,23040 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,129 ms,27 Mbps,3458 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,122 ms,48 Mbps,6256 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,222 ms,2 Mbps,381 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,18 ms,22 Mbps,2854 kB/s
143.47.183.1,443,2606:f240:f00:2be4:0:84ac:bcf3:bd8a,US,Frankfurt,隧道,144 ms,215 Mbps,27545 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,98 ms,23 Mbps,2979 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,203 ms,0 Mbps,21 kB/s
141.147.107.229,443,2a0b:21c0:100a:1b5:0:4c73:f13a:c1b0,DE,Frankfurt,隧道,128 ms,181 Mbps,23244 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,193 ms,42 Mbps,5484 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,128 ms,1 Mbps,252 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,208 ms,96 Mbps,12390 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,192 ms,80 Mbps,10342 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,149 ms,43 Mbps,5574 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,243 ms,24 Mbps,3193 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,187 ms,91 Mbps,11673 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,233 ms,67 Mbps,8609 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,237 ms,2 Mbps,331 kB/s
8.219.139.65,443,47.84.40.188,SG,Singapore,隧道,239 ms,13 Mbps,1758 kB/s
130.162.175.220,443,2a0b:21c0:1007:cb:0:22cb:f4f5:2861,DE,Frankfurt,隧道,117 ms,178 Mbps,22835 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,159 ms,120 Mbps,15462 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,196 ms,90 Mbps,11571 kB/s
8.218.135.92,443,8.218.135.92,HK,Hong Kong,中转,254 ms,6 Mbps,814 kB/s
152.67.224.129,443,2603:c024:c00f:85cc:4ca5:34f9:bd04:1bcb,US,San Jose,隧道,88 ms,494 Mbps,63283 kB/s
