中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,172 Mbps,22016 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,597 Mbps,76492 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,727 Mbps,93081 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,15 ms,93 Mbps,11980 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,52 ms,94 Mbps,12083 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,212 Mbps,27238 kB/s
143.47.242.142,443,2606:f240:f00:eaf1:0:7371:3452:3d5c,US,Paris,隧道,114 ms,115 Mbps,14745 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,49 ms,34 Mbps,4469 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,86 ms,124 Mbps,15872 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,43 Mbps,5600 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,296 Mbps,37990 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,215 Mbps,27545 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,82 ms,221 Mbps,28364 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,23 Mbps,3010 kB/s
193.123.61.249,443,2a0b:21c0:1007:1c9:0:f498:2adf:4bf2,DE,Frankfurt,隧道,94 ms,233 Mbps,29900 kB/s
138.2.152.75,443,2a0b:21c0:1007:1cb:0:296:6b4d:f242,DE,Frankfurt,隧道,96 ms,190 Mbps,24371 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,114 ms,165 Mbps,21196 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,91 ms,45 Mbps,5789 kB/s
138.3.254.39,443,138.3.254.39,212 Mbps,27238 kB/s
138.3.254.39,,,隧道,0 ms,null Mbps,null kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,117 ms,214 Mbps,27443 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,75 ms,94 Mbps,12083 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,37 ms,622 Mbps,79667 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,69 ms,336 Mbps,43110 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,293 Mbps,37580 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,226 Mbps,28979 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,212 Mbps,27238 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,49 Mbps,6290 kB/s
141.147.39.101,443,2a0b:21c0:1007:c7:0:7159:b55f:825,DE,Frankfurt,隧道,92 ms,206 Mbps,26419 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,71 ms,311 Mbps,39833 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,27 ms,1 Mbps,140 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,104 Mbps,13414 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,73 ms,86 Mbps,11059 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,75 ms,278 Mbps,35635 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,85 ms,252 Mbps,32256 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,86 ms,21 Mbps,2690 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,91 ms,45 Mbps,5825 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::1bd:110,US,Los Angeles,隧道,61 ms,41 Mbps,5305 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,82 ms,255 Mbps,32665 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,93 ms,337 Mbps,43212 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,100 ms,108 Mbps,13926 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,150 ms,7 Mbps,1002 kB/s
129.159.130.38,443,129.159.130.38,IL,Milan,中转,133 ms,16 Mbps,2052 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,85 ms,47 Mbps,6076 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:65,US,San Jose,隧道,77 ms,170 Mbps,21811 kB/s
