中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,67 ms,245 Mbps,31436 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,77 ms,246 Mbps,31539 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,540 Mbps,69222 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,86 ms,24 Mbps,3165 kB/s
132.226.31.178,443,2a09:bac5:60eb:183c::26a:56,US,Los Angeles,隧道,57 ms,49 Mbps,6273 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,327 Mbps,41881 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,46 Mbps,5890 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,48 ms,397 Mbps,50892 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,75 ms,297 Mbps,38092 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,74 ms,278 Mbps,35635 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,67 ms,594 Mbps,76083 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,73 ms,290 Mbps,37171 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,47 Mbps,6096 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:19,US,San Jose,隧道,74 ms,187 Mbps,23961 kB/s
150.136.240.243,443,150.136.240.243,US,Atlanta,中转,26 ms,595 Mbps,76185 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,95 ms,243 Mbps,31129 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,280 Mbps,35942 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,155 ms,40 Mbps,5193 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,67 ms,232 Mbps,29696 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,89 ms,236 Mbps,30208 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,224 Mbps,28672 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,92 ms,51 Mbps,6585 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,84 ms,317 Mbps,40652 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,323 Mbps,41369 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,308 Mbps,39424 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,57 ms,119 Mbps,15257 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,105 ms,19 Mbps,2486 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,68 ms,1 Mbps,175 kB/s
150.230.119.33,443,2a0b:21c0:1007:c7:0:fc20:e32a:54d7,DE,Frankfurt,隧道,93 ms,156 Mbps,19968 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,83 ms,48 Mbps,6180 kB/s
129.154.50.220,443,129.154.50.220,,colo.txt:Seoul,中转,0 ms,69 Mbps,8941 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,99 ms,43 Mbps,5624 kB/s
47.88.93.96,443,47.251.149.52,US,San Jose,隧道,93 ms,3 Mbps,412 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,88 ms,109 Mbps,14028 kB/s
