中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,492 Mbps,63078 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,78 ms,262 Mbps,33587 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,250 Mbps,32051 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,288 Mbps,36966 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,35 ms,635 Mbps,81305 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,27 ms,360 Mbps,46080 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,81 ms,102 Mbps,13107 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,264 Mbps,33894 kB/s
47.88.93.96,443,47.251.149.55,US,San Jose,隧道,73 ms,3 Mbps,465 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,43 ms,689 Mbps,88268 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,21 ms,508 Mbps,65126 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,82 ms,212 Mbps,27238 kB/s
35.230.79.26,443,34.127.85.35,US,Seattle,隧道,69 ms,273 Mbps,35020 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,52 ms,51 Mbps,6608 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,252 Mbps,32358 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,84 ms,281 Mbps,36044 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,182 ms,320 Mbps,40960 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,65 ms,31 Mbps,4014 kB/s
35.197.23.75,443,34.127.85.35,US,Seattle,隧道,73 ms,319 Mbps,40857 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,63 Mbps,8139 kB/s
47.254.42.167,443,47.251.149.49,US,San Jose,隧道,75 ms,4 Mbps,595 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,150 ms,220 Mbps,28262 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,245 Mbps,31436 kB/s
138.2.234.77,443,138.2.234.77,US,San Jose,中转,75 ms,46 Mbps,5931 kB/s
130.61.170.78,443,130.61.170.78,DE,Amsterdam,中转,87 ms,129 Mbps,16588 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,43 Mbps,5630 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,134 ms,291 Mbps,37273 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,88 ms,47 Mbps,6055 kB/s
141.148.239.84,443,98.98.166.202,AE,Frankfurt,隧道,88 ms,156 Mbps,19968 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,173 ms,224 Mbps,28774 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,68 ms,319 Mbps,40857 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,40 Mbps,5210 kB/s
47.90.167.197,443,47.90.167.197,US,Ashburn,中转,84 ms,25 Mbps,3301 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,131 Mbps,16793 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,93 ms,243 Mbps,31129 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,95 ms,43 Mbps,5528 kB/s
47.90.228.243,443,47.90.228.243,US,Ashburn,中转,108 ms,3 Mbps,477 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,139 ms,284 Mbps,36352 kB/s
130.162.173.10,443,2606:f240:f00:dd8d:0:565:3edf:a836,US,Paris,隧道,144 ms,126 Mbps,16179 kB/s
47.253.104.12,443,47.251.149.50,US,San Jose,隧道,77 ms,2 Mbps,320 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,65 ms,107 Mbps,13721 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,270 Mbps,34611 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,203 ms,70 Mbps,8989 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,95 ms,40 Mbps,5183 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,163 ms,233 Mbps,29900 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,81 ms,233 Mbps,29900 kB/s
47.89.182.61,443,47.251.149.53,US,San Jose,隧道,76 ms,2 Mbps,323 kB/s
