中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,206 ms,31 Mbps,4078 kB/s,4078.0
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,104 ms,31 Mbps,4014 kB/s,4014.0
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,268 ms,30 Mbps,3954 kB/s,3954.0
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,268 ms,30 Mbps,3901 kB/s,3901.0
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,11 ms,29 Mbps,3793 kB/s,3793.0
8.219.173.114,443,8.219.96.61,SG,Singapore,隧道,257 ms,29 Mbps,3787 kB/s,3787.0
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,293 ms,28 Mbps,3654 kB/s,3654.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,222 ms,28 Mbps,3626 kB/s,3626.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,335 ms,26 Mbps,3430 kB/s,3430.0
8.222.65.69,443,8.216.92.214,JP,Tokyo,隧道,249 ms,25 Mbps,3265 kB/s,3265.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,108 ms,24 Mbps,3189 kB/s,3189.0
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,237 ms,24 Mbps,3100 kB/s,3100.0
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,207 ms,24 Mbps,3094 kB/s,3094.0
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,335 ms,24 Mbps,3084 kB/s,3084.0
8.222.68.129,443,8.216.92.214,JP,Tokyo,隧道,259 ms,22 Mbps,2885 kB/s,2885.0
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,103 ms,21 Mbps,2784 kB/s,2784.0
141.148.147.214,443,141.148.147.214,US,Los Angeles,中转,78 ms,20 Mbps,2639 kB/s,2639.0
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,115 ms,17 Mbps,2220 kB/s,2220.0
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,246 ms,14 Mbps,1852 kB/s,1852.0
8.218.73.41,443,8.218.73.41,HK,Hong Kong,中转,255 ms,12 Mbps,1568 kB/s,1568.0
130.162.144.191,443,2a09:bac1:3f00:90::22:107,KR,Seoul,隧道,216 ms,11 Mbps,1469 kB/s,1469.0
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,11 ms,10 Mbps,1331 kB/s,1331.0
47.89.244.253,443,47.89.244.253,US,San Jose,中转,102 ms,8 Mbps,1131 kB/s,1131.0
8.222.69.185,443,8.216.92.214,JP,Tokyo,隧道,226 ms,7 Mbps,898 kB/s,898.0
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,263 ms,6 Mbps,774 kB/s,774.0
